Date,Open,High,Low,Close*,Adj Close**
1986-01-10,1382.9,1394.5,1382.9,1394.5,1394.5
1986-01-09,1393.5,1393.5,1376.5,1379.6,1379.6
1986-01-08,1415.2,1419.3,1400.3,1404.2,1404.2
1986-01-07,1419.8,1419.8,1411.6,1415.2,1415.2
1986-01-06,1429.8,1436.3,1424.1,1424.1,1424.1
1986-01-03,1420.5,1430,1419.6,1429.8,1429.8
1986-01-02,1412.6,1420.8,1412,1420.5,1420.5
1986-01-01,-,-,-,-,-
1985-12-31,1413.6,1414.3,1411.6,1412.6,1412.6
1985-12-30,1402.7,1413.6,1402.7,1413.6,1413.6
1985-12-27,1392.8,1398.9,1392.8,1398.9,1398.9
1985-12-26,1391.5,1391.5,1391.5,1391.5,1391.5
1985-12-25,-,-,-,-,-
1985-12-24,1389.1,1391.7,1389.1,1391.5,1391.5
1985-12-23,1386.5,1388.6,1383.8,1388.6,1388.6
1985-12-20,1389.3,1389.3,1381.6,1386.5,1386.5
1985-12-19,1383.4,1391.8,1383.4,1390.7,1390.7
1985-12-18,1365.4,1378.8,1364.8,1378.8,1378.8
1985-12-17,1376.5,1377.5,1361,1365.4,1365.4
1985-12-16,1381.4,1386.4,1376.5,1376.5,1376.5
1985-12-13,1378.5,1381.7,1375.4,1381.4,1381.4
1985-12-12,1378.3,1387.2,1378.3,1378.5,1378.5
1985-12-11,1380.6,1380.6,1374.6,1377.4,1377.4
1985-12-10,1392.2,1395.5,1388.6,1389.5,1389.5
1985-12-09,1399.8,1399.8,1390.1,1392.2,1392.2
1985-12-06,1395.3,1401.9,1392.1,1401.9,1401.9
1985-12-05,1399.6,1401.8,1382,1395.3,1395.3
1985-12-04,1415.6,1418.2,1399.1,1399.6,1399.6
1985-12-03,1418.5,1419.8,1402.7,1415.6,1415.6
1985-12-02,1439.1,1439.6,1418.5,1418.5,1418.5
1985-11-29,1429.3,1439.4,1427.5,1439.1,1439.1
1985-11-28,1438,1447.5,1429.2,1429.3,1429.3
1985-11-27,1431.9,1438.8,1431.3,1438,1438
1985-11-26,1449.1,1449.1,1431.9,1431.9,1431.9
1985-11-25,1452.3,1460.7,1452.3,1455.5,1455.5
1985-11-22,1445.2,1454.4,1445.2,1451,1451
1985-11-21,1426.7,1443.3,1426.7,1443.1,1443.1
1985-11-20,1419.7,1424.3,1419.7,1424.3,1424.3
1985-11-19,1405.1,1412.1,1403.3,1412.1,1412.1
1985-11-18,1403.9,1410.4,1401.5,1405.1,1405.1
1985-11-15,1391.7,1403.9,1390.4,1403.9,1403.9
1985-11-14,1396.9,1397.1,1391.7,1391.7,1391.7
1985-11-13,1386.1,1400.5,1386.1,1396.9,1396.9
1985-11-12,1378.4,1387.1,1378.4,1381.6,1381.6
1985-11-11,1390.1,1390.4,1375.5,1375.5,1375.5
1985-11-08,1384.8,1390.1,1377.5,1390.1,1390.1
1985-11-07,1395,1396.6,1384.6,1384.8,1384.8
1985-11-06,1383.9,1395,1383.9,1395,1395
1985-11-05,1383.7,1395.9,1383.7,1383.7,1383.7
1985-11-04,1379,1383.1,1375.2,1380.9,1380.9
1985-11-01,1377.2,1383.1,1371.5,1379,1379
1985-10-31,1373.8,1379.1,1370.3,1377.2,1377.2
1985-10-30,1369.7,1373.8,1369.7,1373.8,1373.8
